Date,Median_Income
1984,51742.0
1985,52709.0
1986,54608.0
1987,55260.0
1988,55716.0
1989,56678.0
1990,55952.0
1991,54318.0
1992,53897.0
1993,53610.0
1994,54233.0
1995,55931.0
1996,56744.0
1997,57911.0
1998,60040.0
1999,61526.0
2000,61399.0
2001,60038.0
2002,59360.0
2003,59286.0
2004,59080.0
2005,59712.0
2006,60178.0
2007,60985.0
2008,58811.0
2009,58400.0
2010,56873.0
2011,56006.0
2012,55900.0
2013,57856.0
2014,56969.0
2015,59901.0
2016,61779.0
2017,62626.0
2018,63179.0
